startblock: 20080100
endblock: 20081600
liquidatable at startblock: []
liquidatable at endblock: [('0x83a59Ce2eF545c019e77c542552eC0f0f58402B6', 339003712914421471712, 6549914983019542653190, 7513823482458731822930, -55014891993110602), ('0x5a34897A6c1607811Ae763350839720c02107682', 0, 150634145668088439899174, 160242140017918876099952, -26322181297031944), ('0xd2BC4e7ECfA4Ec39069623854cD114Dcd8771B84', 0, 238737446649524781936828, 260378109471205280193713, -35521525515212473), ('0x823a1C41fd58cD2718cED091D50de8db9Ab19684', 0, 67366524536625910976412, 75112339601350320760154, -56786617850417891), ('0xD0B53c43D3E0B58909c38487AA0C3af7DFa2d8C0', 4514104809815907701155, 87217341882617458729942, 100083523177937585812581, -55307317766600385), ('0x142CAcA970Db463D0A50170b74e554E391D56Fc4', 0, 1600578263691062691402, 1700455698208914257710, -25054863685620617), ('0x1DD0144f4520E82DF504C1eDE96a218ee5ab5DBd', 0, 6116378866457547883018, 6400847189321669995509, -10038299215900607)]
sUSDe rate startendblock: 1.0781473752212123
sUSDe rate endblock: 1.0782642882905398
approx total loss: 30928.64400865021
address                                          usde_before    crvusd_before    pos_val_before        usde_after      crvusd_after    pos_val_after        pos_diff    approx_loss
------------------------------------------  ----------------  ---------------  ----------------  ----------------  ----------------  ---------------  --------------  -------------
0x83a59Ce2eF545c019e77c542552eC0f0f58402B6  7879.8            7513.12          366.684           7062.54           7513.82          -451.284         -817.968         366.684
0x5a34897A6c1607811Ae763350839720c02107682  169636            160227           9409.05           162423            160242            2181.28         -7227.77         7227.77
0xd2BC4e7ECfA4Ec39069623854cD114Dcd8771B84  274584            260354           14230             257422            260378           -2956.05         -17186           14230
0x823a1C41fd58cD2718cED091D50de8db9Ab19684  78485.6           75105.3          3380.27           72638.9           75112.3          -2473.42         -5853.69         3380.27
0x5DD596C901987A2b28C38A9C1DfBf86fFFc15d77  1.98413e+06       1.7947e+06       189425            1.98434e+06       1.79487e+06       189471           46.613         -46.613
0xeA8a444fDCb9Ba3a5673a0D8C79B6C154201F8aA  1098.82           1001.16          97.6668           1098.94           1001.25           97.6919          0.0251349      -0.0251349
0x1aF987716159529e4B877B2FCff20EdE364e6341  381898            350361           31536.7           381324            350394            30930           -606.689         606.689
0xD0B53c43D3E0B58909c38487AA0C3af7DFa2d8C0  104926            100074           4851.73           94043.3           100084           -6040.18         -10891.9         4851.73
0x142CAcA970Db463D0A50170b74e554E391D56Fc4  1802.49           1700.3           102.19            1725.85           1700.46           25.3907         -76.7992         76.7992
0x1DD0144f4520E82DF504C1eDE96a218ee5ab5DBd  6829.81           6400.25          429.565           6595.07           6400.85           194.226         -235.339         235.339
